project,sha,issue
wicket,112324decb94e037ec5659ffb100a88a08369779,Bug
wicket,fb12dbd49a6a3b01a4ec583513110f678b8e0f18,Bug
wicket,225f9677e2334b9099b80a74b51cede8826c76a7,Bug
wicket,8669d483dcdcf1a5139be74e000a43b9b68a8ff5,Bug
wicket,b42ea9b7b6afaa560444f856c6dab991fc50b5b6,Bug
wicket,c36f95e94bebd16cb5cfe50a8f4cbcdee4f5729f,Improvement
wicket,b9d9b24f36225149eaf68d024704719921338e36,New Feature
wicket,febe51e25be94855ca25b5a4dc507e407411a5ab,Bug
wicket,4c6045387b78ab56537457a4cd3ff81d6a8e2da8,Bug
wicket,444af421700ca3753d43544655a4550c2eab4f9d,Bug
wicket,8a722dba3d38fd0fb8b47d00a9850a3316c9e6ba,Bug
wicket,042a55dc6fc5c7669a3c110a60eac9add94323af,Bug
wicket,6185761dfbe141fb990c4ea8fc8d941b287df80a,New Feature
wicket,c4db9222effe80c49c20bd18f3e3c6773b8c8618,Improvement
wicket,187fc8669bc97f63c3d1055746ec934848e9c09c,Bug
wicket,474d684c0eba1b76f8a7171c2ce95fbdd623fe02,Bug
wicket,48454f4de6996fec491d0f6136b23caf0744fcd2,Bug
wicket,6076c07d1bf2fab3f49c6f12e5520ce2c988c8b5,Improvement
wicket,1fb665336400f0f40ecbb36a642020f87e73524d,Bug
wicket,6e287cb9db0d28b456b4516fbb98a6d9f4720d4a,Task
wicket,f11a66ceb84464285bfd11dcfb5c76443404ada9,Sub-task
wicket,cd1486a2e6f90f056c6c92b6afbdf84c3ecf098c,Bug
wicket,8f8f9859bd3f6d381e84ff4a1eb31b04939b94f3,Improvement
wicket,f33b6648571f986ea1317e25a5875341052d817f,Improvement
wicket,925fee6332d6bb82983c80a06e6ff7098798f3b4,Bug
wicket,231d49dc5b5705bcfdf98abe97817b2845c0675d,Improvement
wicket,8c103c56292e90fcff04443322aacaed72742707,Bug
wicket,b40d5d6d529720e41948fa3ad55aa4bd29e527c4,Improvement
wicket,b4a864b0963303d7338a716355ae4401f8f4d122,Improvement
wicket,a5a77c59cebc93a962bbc13cded4f773b6bbd6e4,Improvement
wicket,af3f84485ccf7a10a7fafe9246d80ff83b13daed,Improvement
wicket,cceb11fdf4470ef809acc6f70011de3e9064311c,Bug
wicket,02b166d90645b8d820a79ad74a843d6c8c0f9157,Improvement
wicket,6a0171a0cd2db94b2247c9cf8bcaafbf96b01b9c,Bug
wicket,e195335793f825ebec3506cf2807d141c7c6a468,Bug
wicket,24d7ca778911122d80fd21d37bacb94a5f4c952d,Bug
wicket,3b0670f6aa96cd428b16544aa2b3ee417bc6602d,Bug
wicket,8eb80374421e15eabffe924c9798453655dabd31,Improvement
wicket,b4336e64883484eede65f2e21a31bc06af96691e,Improvement
wicket,6dfe99f17a989c9d9759cd6ce2830f7962a9090d,Bug
wicket,2c3c467d0f4afeff2a0d72c280de90ac9fea80ad,Improvement
wicket,ae8a88aab539cf701855c97cf7b312a19b41bbe2,Sub-task
wicket,3ad1305d8ac9986ab2313b51c1912032ec2fd56a,Improvement
wicket,427c50bba73b3224df0722333aefc49842ce30b6,Bug
wicket,9ff32f61fd4db03d5671d8459593d6feaa8b7a1b,Improvement
wicket,353d0bccadce8d6c100aa810bf9cc9465a188d15,Bug
wicket,9af7b8f2b9cd4bf6103401e58a0759650eebeae1,New Feature
wicket,39bd7a7f60eceed17e212b92d9bdc2c80f7b2c3b,Bug
wicket,fc20d9a1442139379043684f1075d2bc7889906f,Bug
wicket,499f11fdaf8783b3c795a93e9af7870aa2f84f3c,New Feature
wicket,93eefd0c83ee2e8d389c2d9649e764a30058fde7,Bug
wicket,37f6135d018064b4da2164bcca98b8348c73343c,Bug
wicket,27b6be55bf8cfbb1d9ba852f10efe60846921ca0,New Feature
wicket,977f1e24676e050ea759b415602aed88deba5d76,Bug
wicket,1b7afefc08fa2acc45d0d4687251b43c34158bd2,Bug
wicket,147362636bb8c4a4dec53cd898fb49d7d96117ea,Sub-task
wicket,295e73bd4ffca704a15696959d843431d040d4ef,Bug
wicket,20541786cb3736d1fac19d4e47f2320347ea3b48,Bug
wicket,24aeba45112a4c6513607620d1734cc440c2f68e,Bug
wicket,f45da7bfcaf1b5675b2fb3788ad1b874cf406f25,Bug
wicket,ffd7e27401d851337e1c08324c94a6f9611ded59,New Feature
wicket,c6cbe137504ba7a05b255ad2447d182a734bc0cd,Improvement
wicket,edce1d1570a8e9eec1551454d06b31d4d55381a0,Bug
wicket,e3de88efade07bf03383d373cc8f944f4a2c8d7a,Sub-task
wicket,8fcb2e26db45447877ed9869eebc56a15b225301,Bug
wicket,b6ca16760f62d8ece37e01dbb956e5b4406ea995,Wish
wicket,a99ab59b3169e2d0b1f8410f23e2e4bfb4239334,Bug
wicket,f90259850f283936d0482cdb1f776ac9915b928c,New Feature
wicket,1485a856e0a07cf6e9995da61dd1b33fab1d7d60,Bug
wicket,ad872d1ab71fe20a13245fd20b50249b4061809c,Improvement
wicket,8c827e33e6ae1d4177df2eab9bd3cf9b5a84248f,Bug
wicket,793bd72f08b6c307a0be5c882ddb59ce8b72380f,Wish
